Checkmark: unknown
Filler: filler
Puzzle 1978: unknown
Puzzle 1979: unknown
Puzzle 198: unknown
Puzzle 1980: unknown
Puzzle 1981: unknown
Puzzle 1982: unknown
Puzzle 1983: unknown
Puzzle 1984: unknown
Puzzle 1985: unknown
Puzzle 1986: unknown
Puzzle 1987: unknown
Puzzle 1988: unknown
Puzzle 1989: unknown
Puzzle 199: progression
Puzzle 1990: unknown
Puzzle 1991: unknown
Puzzle 1992: unknown
Puzzle 1993: unknown
Puzzle 1994: unknown
Puzzle 1995: unknown
Puzzle 1996: unknown
Puzzle 1997: unknown
Puzzle 1998: unknown
Puzzle 1999: unknown
Puzzle 2: unknown
Puzzle 20: unknown
Puzzle 200: unknown
Puzzle 2000: unknown
Puzzle 201: progression
Puzzle 202: unknown
Puzzle 203: unknown
Puzzle 204: unknown
Puzzle 205: unknown
Puzzle 206: unknown
Puzzle 207: unknown
Puzzle 208: unknown
Puzzle 209: unknown
Puzzle 21: unknown
Puzzle 210: unknown
Puzzle 211: unknown
Puzzle 212: unknown
Puzzle 213: unknown
Puzzle 214: unknown
Puzzle 215: unknown
Puzzle 216: unknown
Puzzle 217: unknown
Puzzle 218: unknown
Puzzle 219: unknown
Puzzle 22: unknown
Puzzle 220: unknown
Puzzle 221: unknown
Puzzle 222: unknown
Puzzle 223: unknown
Puzzle 224: unknown
Puzzle 225: unknown
Puzzle 226: unknown
Puzzle 227: unknown
Puzzle 228: unknown
Puzzle 229: unknown
Puzzle 23: unknown
Puzzle 230: unknown
Puzzle 231: unknown
Puzzle 232: unknown
Puzzle 233: unknown
Puzzle 234: unknown
Puzzle 235: unknown
Puzzle 236: unknown
Puzzle 237: unknown
Puzzle 238: unknown
Puzzle 239: unknown
Puzzle 24: progression
Puzzle 240: unknown
Puzzle 241: unknown
Puzzle 242: unknown
Puzzle 243: unknown
Puzzle 244: unknown
Puzzle 245: unknown
Puzzle 246: unknown
Puzzle 247: unknown
Puzzle 248: unknown
Puzzle 249: unknown
Puzzle 25: unknown
Puzzle 250: unknown
Puzzle 251: unknown
Puzzle 252: unknown
Puzzle 253: unknown
Puzzle 254: unknown
Puzzle 255: unknown
Puzzle 256: unknown
Puzzle 257: unknown
Puzzle 258: unknown
Puzzle 259: unknown
Puzzle 26: progression
Puzzle 260: unknown
Puzzle 261: unknown
Puzzle 262: unknown
Puzzle 263: unknown
Puzzle 264: unknown
Puzzle 265: unknown
Puzzle 266: unknown
Puzzle 267: unknown
Puzzle 268: unknown
Puzzle 269: unknown
Puzzle 27: unknown
Puzzle 270: unknown
Puzzle 271: unknown
Puzzle 272: unknown
Puzzle 273: unknown
Puzzle 274: unknown
Puzzle 275: unknown
Puzzle 276: unknown
Puzzle 277: unknown
Puzzle 278: unknown
Puzzle 279: unknown
Puzzle 28: progression
Puzzle 280: unknown
Puzzle 281: unknown
Puzzle 282: unknown
Puzzle 283: unknown
Puzzle 284: unknown
Puzzle 285: unknown
Puzzle 286: unknown
Puzzle 287: unknown
Puzzle 288: unknown
Puzzle 289: unknown
Puzzle 29: unknown
Puzzle 290: unknown
Puzzle 291: unknown
Puzzle 292: unknown
Puzzle 293: unknown
Puzzle 294: unknown
Puzzle 295: unknown
Puzzle 296: unknown
Puzzle 297: unknown
Puzzle 298: unknown
Puzzle 299: unknown
Puzzle 3: unknown
Puzzle 30: unknown
Puzzle 300: unknown
Puzzle 301: unknown
Puzzle 302: unknown
Puzzle 303: unknown
Puzzle 304: unknown
Puzzle 305: unknown
Puzzle 306: unknown
Puzzle 307: unknown
Puzzle 308: unknown
Puzzle 309: unknown
Puzzle 31: unknown
Puzzle 310: unknown
Puzzle 311: unknown
Puzzle 312: unknown
Puzzle 313: unknown
Puzzle 314: unknown
Puzzle 315: unknown
Puzzle 316: unknown
Puzzle 317: unknown
Puzzle 318: unknown
Puzzle 319: unknown
Puzzle 32: progression
Puzzle 320: unknown
Puzzle 321: unknown
Puzzle 322: unknown
Puzzle 323: unknown
Puzzle 324: unknown
Puzzle 325: unknown
Puzzle 326: unknown
Puzzle 327: unknown
Puzzle 328: unknown
Puzzle 329: unknown
Puzzle 33: unknown
Puzzle 330: unknown
Puzzle 331: unknown
Puzzle 332: unknown
Puzzle 333: unknown
Puzzle 334: unknown
Puzzle 335: unknown
Puzzle 336: unknown
Puzzle 337: unknown
Puzzle 338: unknown
Puzzle 339: unknown
Puzzle 34: unknown
Puzzle 340: unknown
Puzzle 341: unknown
Puzzle 342: unknown
Puzzle 343: unknown
Puzzle 344: unknown
Puzzle 345: unknown
Puzzle 346: unknown
Puzzle 347: unknown
Puzzle 348: unknown
Puzzle 349: unknown
Puzzle 35: unknown
Puzzle 350: unknown
Puzzle 351: unknown
Puzzle 352: unknown
Puzzle 353: unknown
Puzzle 354: unknown
Puzzle 355: unknown
Puzzle 356: unknown
Puzzle 357: unknown
Puzzle 358: unknown
Puzzle 359: unknown
Puzzle 36: unknown
Puzzle 360: unknown
Puzzle 361: unknown
Puzzle 362: unknown
Puzzle 363: unknown
Puzzle 364: unknown
Puzzle 365: unknown
Puzzle 366: unknown
Puzzle 367: unknown
Puzzle 368: unknown
Puzzle 369: unknown
Puzzle 37: unknown
Puzzle 370: unknown
Puzzle 371: unknown
Puzzle 372: unknown
Puzzle 373: unknown
Puzzle 374: unknown
Puzzle 375: unknown
Puzzle 376: unknown
Puzzle 377: unknown
Puzzle 378: unknown
Puzzle 379: unknown
Puzzle 38: unknown
Puzzle 380: unknown
Puzzle 381: unknown
Puzzle 382: progression
Puzzle 383: unknown
Puzzle 384: unknown
Puzzle 385: unknown
Puzzle 386: unknown
Puzzle 387: unknown
Puzzle 388: unknown
Puzzle 389: unknown
Puzzle 39: unknown
Puzzle 390: unknown
Puzzle 391: unknown
Puzzle 392: unknown
Puzzle 393: unknown
Puzzle 394: unknown
Puzzle 395: unknown
Puzzle 396: unknown
Puzzle 397: unknown
Puzzle 398: unknown
Puzzle 399: unknown
Puzzle 4: unknown
Puzzle 40: progression
Puzzle 400: unknown
Puzzle 401: unknown
Puzzle 402: unknown
Puzzle 403: unknown
Puzzle 404: unknown
Puzzle 405: unknown
Puzzle 406: unknown
Puzzle 407: unknown
Puzzle 408: unknown
Puzzle 409: unknown
Puzzle 41: unknown
Puzzle 410: unknown
Puzzle 411: unknown
Puzzle 412: unknown
Puzzle 413: unknown
Puzzle 414: unknown
Puzzle 415: unknown
Puzzle 416: unknown
Puzzle 417: unknown
Puzzle 418: unknown
Puzzle 419: unknown
Puzzle 42: progression
Puzzle 420: unknown
Puzzle 421: unknown
Puzzle 422: unknown
Puzzle 423: unknown
Puzzle 424: unknown
Puzzle 425: unknown
Puzzle 426: unknown
Puzzle 427: unknown
Puzzle 428: unknown
Puzzle 429: unknown
Puzzle 43: unknown
Puzzle 430: unknown
Puzzle 431: unknown
Puzzle 432: unknown
Puzzle 433: unknown
Puzzle 434: unknown
Puzzle 435: unknown
Puzzle 436: unknown
Puzzle 437: unknown
Puzzle 438: unknown
Puzzle 439: unknown
Puzzle 44: progression
Puzzle 440: unknown
Puzzle 441: unknown
Puzzle 442: unknown
Puzzle 443: unknown
Puzzle 444: unknown
Puzzle 445: unknown
Puzzle 446: unknown
Puzzle 447: unknown
Puzzle 448: unknown
Puzzle 449: unknown
Puzzle 45: unknown
Puzzle 450: unknown
Puzzle 451: unknown
Puzzle 452: unknown
Puzzle 453: unknown
Puzzle 454: unknown
Puzzle 455: unknown
Puzzle 456: unknown
Puzzle 457: unknown
Puzzle 458: unknown
Puzzle 459: unknown
Puzzle 46: progression
Puzzle 460: unknown
Puzzle 461: unknown
Puzzle 462: unknown
Puzzle 463: unknown
Puzzle 464: unknown
Puzzle 465: unknown
Puzzle 466: unknown
Puzzle 467: unknown
Puzzle 468: unknown
Puzzle 469: unknown
Puzzle 47: unknown
Puzzle 470: unknown
Puzzle 471: unknown
Puzzle 472: unknown
Puzzle 473: unknown
Puzzle 474: unknown
Puzzle 475: unknown
Puzzle 476: unknown
Puzzle 477: unknown
Puzzle 478: unknown
Puzzle 479: unknown
Puzzle 48: unknown
Puzzle 480: unknown
Puzzle 481: unknown
Puzzle 482: unknown
Puzzle 483: unknown
Puzzle 484: unknown
Puzzle 485: unknown
Puzzle 486: unknown
Puzzle 487: unknown
Puzzle 488: unknown
Puzzle 489: unknown
Puzzle 49: progression
Puzzle 490: unknown
Puzzle 491: unknown
Puzzle 492: unknown
Puzzle 493: unknown
Puzzle 494: unknown
Puzzle 495: unknown
Puzzle 496: unknown
Puzzle 497: unknown
Puzzle 498: unknown
Puzzle 499: unknown
Puzzle 5: unknown
Puzzle 50: progression
Puzzle 500: unknown
Puzzle 501: unknown
Puzzle 502: unknown
Puzzle 503: unknown
Puzzle 504: unknown
Puzzle 505: unknown
Puzzle 506: unknown
Puzzle 507: unknown
Puzzle 508: unknown
Puzzle 509: unknown
Puzzle 51: progression
Puzzle 510: unknown
Puzzle 511: unknown
Puzzle 512: unknown
Puzzle 513: unknown
Puzzle 514: unknown
Puzzle 515: unknown
Puzzle 516: unknown
Puzzle 517: unknown
Puzzle 518: unknown
Puzzle 519: unknown
Puzzle 52: unknown
Puzzle 520: unknown
Puzzle 521: unknown
Puzzle 522: unknown
Puzzle 523: unknown
Puzzle 524: unknown
Puzzle 525: unknown
Puzzle 526: unknown
Puzzle 527: unknown
Puzzle 528: unknown
Puzzle 529: unknown
Puzzle 53: progression
Puzzle 530: unknown
Puzzle 531: unknown
Puzzle 532: unknown
Puzzle 533: unknown
Puzzle 534: unknown
Puzzle 535: unknown
Puzzle 536: unknown
Puzzle 537: unknown
Puzzle 538: unknown
Puzzle 539: unknown
Puzzle 54: progression
Puzzle 540: unknown
Puzzle 541: unknown
Puzzle 542: unknown
Puzzle 543: unknown
Puzzle 544: unknown
Puzzle 545: unknown
Puzzle 546: unknown
Puzzle 547: unknown
Puzzle 548: unknown
Puzzle 549: unknown
Puzzle 55: unknown
Puzzle 550: unknown
Puzzle 551: unknown
Puzzle 552: unknown
Puzzle 553: unknown
Puzzle 554: unknown
Puzzle 555: unknown
Puzzle 556: unknown
Puzzle 557: unknown
Puzzle 558: progression
Puzzle 559: unknown
Puzzle 56: unknown
Puzzle 560: unknown
Puzzle 561: unknown
Puzzle 562: unknown
Puzzle 563: unknown
Puzzle 564: unknown
Puzzle 565: unknown
Puzzle 566: unknown
Puzzle 567: unknown
Puzzle 568: unknown
Puzzle 569: unknown
Puzzle 57: progression
Puzzle 570: unknown
Puzzle 571: unknown
Puzzle 572: unknown
Puzzle 573: unknown
Puzzle 574: unknown
Puzzle 575: unknown
Puzzle 576: unknown
Puzzle 577: unknown
Puzzle 578: unknown
Puzzle 579: unknown
Puzzle 58: unknown
Puzzle 580: unknown
Puzzle 581: unknown
Puzzle 582: unknown
Puzzle 583: unknown
Puzzle 584: unknown
Puzzle 585: unknown
Puzzle 586: unknown
Puzzle 587: unknown
Puzzle 588: unknown
Puzzle 589: unknown
Puzzle 59: unknown
Puzzle 590: unknown
Puzzle 591: unknown
Puzzle 592: unknown
Puzzle 593: unknown
Puzzle 594: unknown
Puzzle 595: unknown
Puzzle 596: unknown
Puzzle 597: unknown
Puzzle 598: unknown
Puzzle 599: unknown
Puzzle 6: unknown
Puzzle 60: unknown
Puzzle 600: unknown
Puzzle 601: unknown
Puzzle 602: unknown
Puzzle 603: unknown
Puzzle 604: unknown
Puzzle 605: unknown
Puzzle 606: unknown
Puzzle 607: unknown
Puzzle 608: unknown
Puzzle 609: unknown
Puzzle 61: unknown
Puzzle 610: unknown
Puzzle 611: unknown
Puzzle 612: unknown
Puzzle 613: unknown
Puzzle 614: unknown
Puzzle 615: unknown
Puzzle 616: unknown
Puzzle 617: unknown
Puzzle 618: unknown
Puzzle 619: unknown
Puzzle 62: progression
Puzzle 620: unknown
Puzzle 621: unknown
Puzzle 622: unknown
Puzzle 623: unknown
Puzzle 624: unknown
Puzzle 625: unknown
Puzzle 626: unknown
Puzzle 627: unknown
Puzzle 628: unknown
Puzzle 629: unknown
Puzzle 63: unknown
Puzzle 630: unknown
Puzzle 631: unknown
Puzzle 632: unknown
Puzzle 633: unknown
Puzzle 634: unknown
Puzzle 635: unknown
Puzzle 636: unknown
Puzzle 637: unknown
Puzzle 638: unknown
Puzzle 639: unknown
Puzzle 64: unknown
Puzzle 640: unknown
Puzzle 641: unknown
Puzzle 642: unknown
Puzzle 643: unknown
Puzzle 644: unknown
Puzzle 645: unknown
Puzzle 646: unknown
Puzzle 647: unknown
Puzzle 648: unknown
Puzzle 649: unknown
Puzzle 65: unknown
Puzzle 650: unknown
Puzzle 651: unknown
Puzzle 652: unknown
Puzzle 653: unknown
Puzzle 654: unknown
Puzzle 655: unknown
Puzzle 656: unknown
Puzzle 657: unknown
Puzzle 658: unknown
Puzzle 659: unknown
Puzzle 66: unknown
Puzzle 660: unknown
Puzzle 661: unknown
Puzzle 662: unknown
Puzzle 663: unknown
Puzzle 664: unknown
Puzzle 665: unknown
Puzzle 666: unknown
Puzzle 667: unknown
Puzzle 668: unknown
Puzzle 669: unknown
Puzzle 67: unknown
Puzzle 670: unknown
Puzzle 671: unknown
Puzzle 672: unknown
Puzzle 673: unknown
Puzzle 674: unknown
Puzzle 675: unknown
Puzzle 676: unknown
Puzzle 677: unknown
Puzzle 678: unknown
Puzzle 679: unknown
Puzzle 68: unknown
Puzzle 680: unknown
Puzzle 681: unknown
Puzzle 682: unknown
Puzzle 683: unknown
Puzzle 684: unknown
Puzzle 685: unknown
Puzzle 686: unknown
Puzzle 687: unknown
Puzzle 688: unknown
Puzzle 689: unknown
Puzzle 69: unknown
Puzzle 690: unknown
Puzzle 691: unknown
Puzzle 692: unknown
Puzzle 693: unknown
Puzzle 694: unknown
Puzzle 695: unknown
Puzzle 696: unknown
Puzzle 697: unknown
Puzzle 698: unknown
Puzzle 699: unknown
Puzzle 7: unknown
Puzzle 70: unknown
Puzzle 700: unknown
Puzzle 701: unknown
Puzzle 702: unknown
Puzzle 703: unknown
Puzzle 704: unknown
Puzzle 705: unknown
Puzzle 706: unknown
Puzzle 707: unknown
Puzzle 708: unknown
Puzzle 709: unknown
Puzzle 71: progression
Puzzle 710: unknown
Puzzle 711: unknown
Puzzle 712: unknown
Puzzle 713: unknown
Puzzle 714: unknown
Puzzle 715: unknown
Puzzle 716: unknown
Puzzle 717: unknown
Puzzle 718: unknown
Puzzle 719: unknown
Puzzle 72: unknown
Puzzle 720: unknown
Puzzle 721: unknown
Puzzle 722: unknown
Puzzle 723: unknown
Puzzle 724: unknown
Puzzle 725: unknown
Puzzle 726: unknown
Puzzle 727: unknown
Puzzle 728: unknown
Puzzle 729: unknown
Puzzle 73: unknown
Puzzle 730: unknown
Puzzle 731: unknown
Puzzle 732: unknown
Puzzle 733: unknown
Puzzle 734: unknown
Puzzle 735: unknown
Puzzle 736: unknown
Puzzle 737: unknown
Puzzle 738: unknown
Puzzle 739: unknown
Puzzle 74: progression
Puzzle 740: unknown
Puzzle 741: unknown
Puzzle 742: unknown
Puzzle 743: unknown
Puzzle 744: unknown
Puzzle 745: unknown
Puzzle 746: unknown
Puzzle 747: unknown
Puzzle 748: unknown
Puzzle 749: unknown
Puzzle 75: unknown
Puzzle 750: unknown
Puzzle 751: unknown
Puzzle 752: unknown
Puzzle 753: unknown
Puzzle 754: unknown
Puzzle 755: unknown
Puzzle 756: unknown
Puzzle 757: unknown
Puzzle 758: unknown
Puzzle 759: unknown
Puzzle 76: progression
Puzzle 760: unknown
Puzzle 761: unknown
Puzzle 762: unknown
Puzzle 763: unknown
Puzzle 764: unknown
Puzzle 765: unknown
Puzzle 766: unknown
Puzzle 767: unknown
Puzzle 768: unknown
Puzzle 769: unknown
Puzzle 77: unknown
Puzzle 770: unknown
Puzzle 771: unknown
Puzzle 772: unknown
Puzzle 773: unknown
Puzzle 774: unknown
Puzzle 775: unknown
Puzzle 776: unknown
Puzzle 777: unknown
Puzzle 778: unknown
Puzzle 779: unknown
Puzzle 78: progression
Puzzle 780: unknown
Puzzle 781: unknown
Puzzle 782: unknown
Puzzle 783: unknown
Puzzle 784: unknown
Puzzle 785: unknown
Puzzle 786: unknown
Puzzle 787: unknown
Puzzle 788: unknown
Puzzle 789: unknown
Puzzle 79: unknown
Puzzle 790: unknown
Puzzle 791: unknown
Puzzle 792: unknown
Puzzle 793: unknown
Puzzle 794: unknown
Puzzle 795: unknown
Puzzle 796: unknown
Puzzle 797: unknown
Puzzle 798: unknown
Puzzle 799: unknown
Puzzle 8: progression
Puzzle 80: unknown
Puzzle 800: unknown
Puzzle 801: unknown
Puzzle 802: unknown
Puzzle 803: unknown
Puzzle 804: unknown
Puzzle 805: unknown
Puzzle 806: unknown
Puzzle 807: unknown
Puzzle 808: unknown
Puzzle 809: unknown
Puzzle 81: progression
Puzzle 810: unknown
Puzzle 811: unknown
Puzzle 812: unknown
Puzzle 813: unknown
Puzzle 814: unknown
Puzzle 815: unknown
Puzzle 816: unknown
Puzzle 817: unknown
Puzzle 818: unknown
Puzzle 819: unknown
Puzzle 82: progression
Puzzle 820: unknown
Puzzle 821: unknown
Puzzle 822: unknown
Puzzle 823: unknown
Puzzle 824: unknown
Puzzle 825: unknown
Puzzle 826: unknown
Puzzle 827: unknown
Puzzle 828: unknown
Puzzle 829: unknown
Puzzle 83: unknown
Puzzle 830: unknown
Puzzle 831: unknown
Puzzle 832: unknown
Puzzle 833: unknown
Puzzle 834: unknown
Puzzle 835: unknown
Puzzle 836: unknown
Puzzle 837: unknown
Puzzle 838: unknown
Puzzle 839: unknown
Puzzle 84: unknown
Puzzle 840: unknown
Puzzle 841: unknown
Puzzle 842: unknown
Puzzle 843: unknown
Puzzle 844: unknown
Puzzle 845: unknown
Puzzle 846: unknown
Puzzle 847: unknown
Puzzle 848: unknown
Puzzle 849: unknown
Puzzle 85: progression
Puzzle 850: unknown
Puzzle 851: unknown
Puzzle 852: unknown
Puzzle 853: unknown
Puzzle 854: unknown
Puzzle 855: unknown
Puzzle 856: unknown
Puzzle 857: unknown
Puzzle 858: unknown
Puzzle 859: unknown
Puzzle 86: progression
Puzzle 860: unknown
Puzzle 861: unknown
Puzzle 862: unknown
Puzzle 863: unknown
Puzzle 864: unknown
Puzzle 865: unknown
Puzzle 866: unknown
Puzzle 867: unknown
Puzzle 868: unknown
Puzzle 869: unknown
Puzzle 87: unknown
Puzzle 870: unknown
Puzzle 871: unknown
Puzzle 872: unknown
Puzzle 873: unknown
Puzzle 874: unknown
Puzzle 875: unknown
Puzzle 876: unknown
Puzzle 877: unknown
Puzzle 878: unknown
Puzzle 879: unknown
Puzzle 88: progression
Puzzle 880: unknown
Puzzle 881: unknown
Puzzle 882: unknown
Puzzle 883: unknown
Puzzle 884: unknown
Puzzle 885: unknown
Puzzle 886: unknown
Puzzle 887: unknown
Puzzle 888: unknown
Puzzle 889: unknown
Puzzle 89: unknown
Puzzle 890: unknown
Puzzle 891: unknown
Puzzle 892: unknown
Puzzle 893: unknown
Puzzle 894: unknown
Puzzle 895: unknown
Puzzle 896: unknown
Puzzle 897: unknown
Puzzle 898: unknown
Puzzle 899: unknown
Puzzle 9: unknown
Puzzle 90: unknown
Puzzle 900: unknown
Puzzle 901: unknown
Puzzle 902: unknown
Puzzle 903: unknown
Puzzle 904: unknown
Puzzle 905: unknown
Puzzle 906: unknown
Puzzle 907: unknown
Puzzle 908: unknown
Puzzle 909: unknown
Puzzle 91: unknown
Puzzle 910: unknown
Puzzle 911: unknown
Puzzle 912: unknown
Puzzle 913: unknown
Puzzle 914: unknown
Puzzle 915: unknown
Puzzle 916: unknown
Puzzle 917: unknown
Puzzle 918: unknown
Puzzle 919: unknown
Puzzle 92: progression
Puzzle 920: unknown
Puzzle 921: unknown
Puzzle 922: unknown
Puzzle 923: unknown
Puzzle 924: unknown
Puzzle 925: unknown
Puzzle 926: unknown
Puzzle 927: unknown
Puzzle 928: unknown
Puzzle 929: unknown
Puzzle 93: progression
Puzzle 930: unknown
Puzzle 931: unknown
Puzzle 932: unknown
Puzzle 933: unknown
Puzzle 934: unknown
Puzzle 935: unknown
Puzzle 936: unknown
Puzzle 937: unknown
Puzzle 938: unknown
Puzzle 939: unknown
Puzzle 94: unknown
Puzzle 940: unknown
Puzzle 941: unknown
Puzzle 942: unknown
Puzzle 943: unknown
Puzzle 944: unknown
Puzzle 945: unknown
Puzzle 946: unknown
Puzzle 947: unknown
Puzzle 948: unknown
Puzzle 949: unknown
Puzzle 95: progression
Puzzle 950: unknown
Puzzle 951: unknown
Puzzle 952: unknown
Puzzle 953: unknown
Puzzle 954: unknown
Puzzle 955: unknown
Puzzle 956: unknown
Puzzle 957: unknown
Puzzle 958: unknown
Puzzle 959: unknown
Puzzle 96: unknown
Puzzle 960: unknown
Puzzle 961: unknown
Puzzle 962: unknown
Puzzle 963: unknown
Puzzle 964: unknown
Puzzle 965: unknown
Puzzle 966: unknown
Puzzle 967: unknown
Puzzle 968: unknown
Puzzle 969: unknown
Puzzle 97: unknown
Puzzle 970: unknown
Puzzle 971: unknown
Puzzle 972: unknown
Puzzle 973: unknown
Puzzle 974: unknown
Puzzle 975: unknown
Puzzle 976: unknown
Puzzle 977: unknown
Puzzle 978: unknown
Puzzle 979: unknown
Puzzle 98: unknown
Puzzle 980: unknown
Puzzle 981: unknown
Puzzle 982: unknown
Puzzle 983: unknown
Puzzle 984: unknown
Puzzle 985: unknown
Puzzle 986: unknown
Puzzle 987: unknown
Puzzle 988: unknown
Puzzle 989: unknown
Puzzle 99: unknown
Puzzle 990: unknown
Puzzle 991: unknown
Puzzle 992: unknown
Puzzle 993: unknown
Puzzle 994: unknown
Puzzle 995: unknown
Puzzle 996: unknown
Puzzle 997: unknown
Puzzle 998: unknown
Puzzle 999: unknown
Reroll: unknown
Skip: unknown
